brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
29015,for_sale,1585000,3,4,NULL,937333,"Fort Lauderdale",Florida,33308,2097,
10171,for_sale,3299900,4,3,0.31,863557,"Fort Lauderdale",Florida,33308,3638,44399
32342,for_sale,1995000,3,3,NULL,959097,"Fort Lauderdale",Florida,33308,1977,44396
30180,for_sale,139900,1,1,NULL,1125865,"Fort Lauderdale",Florida,33308,600,34814
9556,for_sale,214000,2,2,NULL,686414,"Fort Lauderdale",Florida,33308,830,41351
4457,for_sale,346900,2,2,NULL,988392,"Fort Lauderdale",Florida,33308,1350,38370
6874,for_sale,159000,2,2,NULL,709812,"Fort Lauderdale",Florida,33308,1100,38377
54228,for_sale,429900,2,2,NULL,959185,"Fort Lauderdale",Florida,33308,1200,35146
37788,for_sale,304900,2,2,NULL,1013336,"Fort Lauderdale",Florida,33308,1120,36245
13916,for_sale,165000,1,2,NULL,688476,"Fort Lauderdale",Florida,33308,756,44462
93224,for_sale,425000,2,2,NULL,959189,"Fort Lauderdale",Florida,33308,1400,
16829,for_sale,179000,1,2,NULL,796984,"Fort Lauderdale",Florida,33308,841,43587
75445,for_sale,760000,3,2,0.17,1430673,"Fort Lauderdale",Florida,33308,1544,40843
70271,for_sale,185000,1,2,NULL,1153338,"Oakland Park",Florida,33308,775,43692
81619,for_sale,825000,4,2,0.16,1515307,"Fort Lauderdale",Florida,33308,1852,36336
22611,for_sale,429000,2,2,NULL,944122,"Fort Lauderdale",Florida,33308,1450,42552
16829,for_sale,412000,3,2,NULL,931002,"Fort Lauderdale",Florida,33308,1328,40046
64017,for_sale,479000,2,2,NULL,1160393,"Lauderdale By The Sea",Florida,33308,880,
69067,for_sale,550000,2,2,0.18,796026,"Lauderdale By The Sea",Florida,33308,1218,36014
103320,for_sale,580000,2,2,0.16,689248,"Fort Lauderdale",Florida,33308,1466,42019
27459,for_sale,799000,4,2,0.18,1391378,"Fort Lauderdale",Florida,33308,2056,39806
61739,for_sale,875000,3,2,0.17,1423065,"Fort Lauderdale",Florida,33308,1929,
9953,for_sale,250000,2,1,NULL,1002831,"Fort Lauderdale",Florida,33308,760,38901
53364,for_sale,479000,2,2,NULL,967716,"Fort Lauderdale",Florida,33308,1300,43938
37788,for_sale,1149000,3,2,0.18,674854,"Fort Lauderdale",Florida,33308,2195,44281
103320,for_sale,229000,1,1,NULL,1145858,"Fort Lauderdale",Florida,33308,685,44459
20083,for_sale,650000,3,2,0.16,1422956,"Fort Lauderdale",Florida,33308,1373,40758
54228,for_sale,1500000,4,3,0.23,1251360,"Fort Lauderdale",Florida,33308,2895,36368
12627,for_sale,930000,4,4,NULL,853347,"Fort Lauderdale",Florida,33308,3048,
16829,for_sale,2600000,3,3,0.24,954039,"Fort Lauderdale",Florida,33308,3050,36325
82907,for_sale,650000,2,2,NULL,1116518,"Fort Lauderdale",Florida,33308,1650,34852
16829,for_sale,1295000,3,2,0.23,1278021,"Fort Lauderdale",Florida,33308,2341,37880
64719,for_sale,1399000,4,4,NULL,879543,"Fort Lauderdale",Florida,33308,2638,42096
20084,for_sale,559000,2,2,NULL,1160391,"Lauderdale By The Sea",Florida,33308,880,38496
53116,for_sale,675000,2,2,NULL,1152477,"Fort Lauderdale",Florida,33308,1596,32794
53364,for_sale,1050000,3,3,NULL,959179,"Fort Lauderdale",Florida,33308,2550,43481
35,for_sale,2550000,4,4,0.18,743900,"Lauderdale By The Sea",Florida,33308,3170,44176
22666,for_sale,3850000,4,5,0.2,1004674,"Fort Lauderdale",Florida,33308,3352,43613
103320,for_sale,2645000,5,4,0.27,1431824,"Fort Lauderdale",Florida,33308,2864,41921
6275,for_sale,499000,2,2,NULL,1524638,"Fort Lauderdale",Florida,33308,1250,39919
16829,for_sale,1949000,4,3,0.24,881961,"Fort Lauderdale",Florida,33308,2921,34238
35855,for_sale,8995000,5,6,0.4,1153685,"Fort Lauderdale",Florida,33308,7637,42816
45618,for_sale,999999,2,2,NULL,1042890,"Fort Lauderdale",Florida,33308,1827,41389
72193,for_sale,1799900,3,3,NULL,959091,"Fort Lauderdale",Florida,33308,2086,40295
53364,for_sale,199000,1,1,NULL,549156,"Fort Lauderdale",Florida,33308,650,41900
81010,for_sale,249500,2,2,NULL,988393,"Fort Lauderdale",Florida,33308,1120,38196
8716,for_sale,299900,2,2,NULL,1371349,"Fort Lauderdale",Florida,33308,928,41325
81010,for_sale,339000,2,2,NULL,988389,"Fort Lauderdale",Florida,33308,1120,37341
6275,for_sale,369000,1,2,NULL,931003,"Fort Lauderdale",Florida,33308,946,38490
57007,for_sale,385000,1,2,NULL,1149487,"Fort Lauderdale",Florida,33308,940,40542
58713,for_sale,515000,2,2,NULL,850127,"Fort Lauderdale",Florida,33308,1200,36067
29656,for_sale,395000,2,2,NULL,988390,"Fort Lauderdale",Florida,33308,1120,38775
70271,for_sale,1100000,2,3,NULL,946838,"Fort Lauderdale",Florida,33308,1625,40900
10958,for_sale,364900,1,2,NULL,1206434,"Fort Lauderdale",Florida,33308,950,33847
84534,for_sale,1425000,3,3,0.23,1077870,"Fort Lauderdale",Florida,33308,2613,44350
82907,for_sale,240000,1,2,NULL,1124952,"Fort Lauderdale",Florida,33308,802,
87418,for_sale,280000,2,1,NULL,1235005,"Fort Lauderdale",Florida,33308,800,36565
53364,for_sale,500000,2,2,NULL,967717,"Fort Lauderdale",Florida,33308,1300,43713
29656,for_sale,239000,1,1,NULL,998596,"Fort Lauderdale",Florida,33308,774,
9726,for_sale,695000,3,2,0.16,1079722,"Oakland Park",Florida,33308,1582,41627
10171,for_sale,347500,2,2,NULL,931005,"Fort Lauderdale",Florida,33308,1144,34626
106559,for_sale,449000,2,2,NULL,959183,"Fort Lauderdale",Florida,33308,1177,43074
52577,for_sale,299000,1,1,NULL,1090561,"Fort Lauderdale",Florida,33308,620,42345
30807,for_sale,968000,4,3,0.17,626529,"Fort Lauderdale",Florida,33308,2196,44386
30807,for_sale,595000,2,2,NULL,933667,"Fort Lauderdale",Florida,33308,1200,42235
35637,for_sale,1500000,3,2,0.22,660033,"Fort Lauderdale",Florida,33308,2376,42898
43641,for_sale,1890000,5,5,NULL,1262845,"Lauderdale By The Sea",Florida,33308,2811,43754
28159,for_sale,3250000,3,4,0.33,330219,"Sea Ranch Lakes",Florida,33308,3245,41726
103243,for_sale,1300000,4,5,0.18,722448,"Lauderdale By The Sea",Florida,33308,1979,38366
87807,for_sale,710000,2,2,NULL,1123057,"Fort Lauderdale",Florida,33308,1435,37242
16829,for_sale,3495000,4,4,0.22,933668,"Fort Lauderdale",Florida,33308,3670,43168
32342,for_sale,2599000,3,3,NULL,959095,"Fort Lauderdale",Florida,33308,2318,44531
12278,for_sale,4950000,6,8,0.32,1013792,"Fort Lauderdale",Florida,33308,5700,43112
30807,for_sale,998000,2,3,NULL,1316861,"Lauderdale By The Sea",Florida,33308,1780,35268
20084,for_sale,1599000,4,3,0.27,1566955,"Sea Ranch Lakes",Florida,33308,2266,
11228,for_sale,2300000,3,3,NULL,1298634,"Lauderdale By The Sea",Florida,33308,2550,37455
67998,for_sale,990000,2,2,NULL,1123058,"Fort Lauderdale",Florida,33308,1821,
38934,for_sale,419000,1,1,NULL,1090562,"Fort Lauderdale",Florida,33308,800,38425
81619,for_sale,2199000,4,4,NULL,1252021,"Lauderdale By The Sea",Florida,33308,3324,
81619,for_sale,2199000,4,4,NULL,1251698,"Lauderdale By The Sea",Florida,33308,3324,
78224,for_sale,3200000,5,5,0.34,562571,"Sea Ranch Lakes",Florida,33308,5351,44300
16829,for_sale,1225000,3,3,NULL,959178,"Fort Lauderdale",Florida,33308,2427,38268
78568,for_sale,12500000,5,7,0.61,1157836,"Fort Lauderdale",Florida,33308,7583,42695
3940,for_sale,583000,4,2,0.14,347110,Miami,Florida,33196,1766,
11048,for_sale,400000,3,2,NULL,425963,Miami,Florida,33196,1384,
30180,for_sale,429900,3,2,0.16,859253,"Fort Lauderdale",Florida,33312,2009,36137
79194,for_sale,439900,4,2,0.16,1064640,"Fort Lauderdale",Florida,33312,1692,40617
92314,for_sale,410000,3,2,0.25,1189458,"Fort Lauderdale",Florida,33312,1583,37280
50644,for_sale,949900,3,3,NULL,1698919,"Fort Lauderdale",Florida,33312,3189,
90569,for_sale,383900,3,2,0.17,365145,"Fort Lauderdale",Florida,33312,1596,42216
57080,for_sale,465000,3,2,0.19,403161,"Fort Lauderdale",Florida,33312,1655,42041
28976,for_sale,459999,3,2,0.19,1080811,"Fort Lauderdale",Florida,33312,1584,42992
6986,for_sale,479999,4,2,0.17,1081837,"Fort Lauderdale",Florida,33312,1784,44543
44627,for_sale,489900,4,3,0.17,1149024,"Fort Lauderdale",Florida,33312,1871,44595
37064,for_sale,430000,2,2,NULL,1108124,"Fort Lauderdale",Florida,33312,1520,
27351,for_sale,330000,2,3,NULL,1008825,"Fort Lauderdale",Florida,33312,1679,41158
58708,for_sale,439000,2,2,0.17,970445,"Fort Lauderdale",Florida,33312,1238,
25836,for_sale,849000,3,3,0.37,412357,"Fort Lauderdale",Florida,33312,2136,42828
14748,for_sale,230000,1,1,NULL,1054979,"Fort Lauderdale",Florida,33312,844,41331
